DetectorID,RoadType,Location
215.3.277,Freeway,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp
215.1.278,Freeway,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp
604.1.498,Freeway,CC-215 EB between Lake Mead Boulevard and I-515 SB College Off Ramp
632.1.498,On-Ramp,I-215 SB Lake Mead OnRamp between Sunset Road and Durango
603.2.499,Freeway,CC-215 EB between Cheyenne Avenue and Lake Mead Boulevard
633.1.499,Off-Ramp,I-215 SB Lake Mead OffRamp between Sunset Road and Durango
601.1.503,Freeway,CC-215 WB between Cheyenne Avenue and Alexander Road
656.1.503,On-Ramp,I-215 NB Cheyenne OnRamp between Sunset Road and Durango
602.2.504,Freeway,CC-215 EB between Alexander Road and Cheyenne Avenue
450.2.359,Freeway,I-15 NB between 10.71 Miles south of Sloan Road and 11.71 Miles south of Sloan Road
435.1.359,Freeway,I-15 SB between 11.71 Miles south of Sloan Road and 10.71 Miles south of Sloan Road
218.2.360,Freeway,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp
378.3.298,Freeway,I-515 NB between Denning Street and Stephanie Street
378.2.299,Freeway,I-515 NB between Denning Street and Stephanie Street
364.1.300,Freeway,I-515 SB between Stephanie Street and Denning Street
428.2.343,Freeway,I-15 SB between 4.71 Miles south of Sloan Road and 3.71 Miles south of Sloan Road
443.1.344,Freeway,I-15 NB between 3.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
428.3.344,Freeway,I-15 SB between 4.71 Miles south of Sloan Road and 3.71 Miles south of Sloan Road
430.3.348,Freeway,I-15 SB between 6.71 Miles south of Sloan Road and 5.71 Miles south of Sloan Road
446.3.349,Freeway,I-15 NB between 6.71 Miles south of Sloan Road and 7.71 Miles south of Sloan Road
431.1.349,Freeway,I-15 SB between 7.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
574.1.394,On-Ramp,I-515 NB College Off Ramp between I-515 NB and College Drive
372.1.404,Freeway,I-515 SB between Bitterroot Street and College Drive
555.1.405,On-Ramp,I-515 SB WagonWheel On Ramp between WagonWheel and I-515 SB
372.2.405,Freeway,I-515 SB between Bitterroot Street and College Drive
546.1.406,Off-Ramp,I-515 NB WagonWheel Off Ramp between I-515 NB and WagonWheel
372.3.408,Freeway,I-515 SB between Bitterroot Street and College Drive
629.1.493,Off-Ramp,I-215 SB Far Hills OffRamp between Sunset Road and Durango
605.1.494,Freeway,CC-215 EB between I-515 SB College Off Ramp and I-515 SB College On Ramp
630.1.494,On-Ramp,I-215 SB Summerlin OnRamp between Sunset Road and Durango
599.1.495,Freeway,CC-215 WB between I-515 SB College Off Ramp and Lake Mead Boulevard
652.1.495,On-Ramp,I-215 NB Summerlin OnRamp between Sunset Road and Durango
604.2.496,Freeway,CC-215 EB between Lake Mead Boulevard and I-515 SB College Off Ramp
504.2.274,Freeway,CC-215 WB between Cimmaron and Durango
505.1.274,Freeway,CC-215 EB between Durango and Cimmaron
211.1.275,Freeway,I-515 NB between I-515 NB Charleston On-Ramp and I-515 NB Eastern Off-Ramp
600.1.500,Freeway,CC-215 WB between Lake Mead Boulevard and Cheyenne Avenue
654.1.500,On-Ramp,I-215 NB Lake Mead OnRamp between Sunset Road and Durango
603.1.501,Freeway,CC-215 EB between Cheyenne Avenue and Lake Mead Boulevard
634.1.501,On-Ramp,I-215 SB Cheyenne OnRamp between Sunset Road and Durango
600.2.502,Freeway,CC-215 WB between Lake Mead Boulevard and Cheyenne Avenue
657.1.502,Off-Ramp,I-215 NB Cheyenne OffRamp between Sunset Road and Durango
212.3.279,Freeway,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp
221.2.279,Off-Ramp,I-515 SB Boulder Hwy Off-Ramp between I-515 SB and Boulder Highway
221.1.279,Off-Ramp,I-515 SB Boulder Hwy Off-Ramp between I-515 SB and Boulder Highway
218.1.280,Freeway,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp
218.3.282,Freeway,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp
219.2.282,Freeway,I-515 NB between I-515 NB Boulder Hwy Off-Ramp and I-515 NB Charleston Off-Ramp
220.1.283,Freeway,I-515 SB between I-15 SB Boulder Off-Ramp and I-515 SB Boulder Hwy Off-Ramp
219.1.284,Freeway,I-515 NB between I-515 NB Boulder Hwy Off-Ramp and I-515 NB Charleston Off-Ramp
357.3.310,Freeway,I-15 NB between Pyle Avenue and Erie Avenue
357.2.311,Freeway,I-15 NB between Pyle Avenue and Erie Avenue
357.1.312,Freeway,I-15 NB between Pyle Avenue and Erie Avenue
351.2.316,Freeway,I-15 SB between Erie Avenue and Pyle Avenue
635.1.504,Off-Ramp,I-215 SB Cheyenne OffRamp between Sunset Road and Durango
421.1.505,Freeway,US-95 NB between Clark County 215 and Ann Road
359.1.325,Freeway,I-15 NB between Barbara Lane and Saint Rose Parkway
358.1.325,Freeway,I-15 NB between Erie Avenue and Barbara Lane
437.3.327,Freeway,I-15 NB between Saint Rose Parkway and Roban Street
446.1.350,Freeway,I-15 NB between 6.71 Miles south of Sloan Road and 7.71 Miles south of Sloan Road
431.3.350,Freeway,I-15 SB between 7.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
